Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1986-10,Price,0.1697,,,,Pounds per litre
2000-04,Volume,,1177.0,,,Million litres
1994-12,Protein,,,3.21,,Percentage
1997-10,Price,0.2082,,,,Pounds per litre
2002-10,Protein,,,3.41,,Percentage
1998-06,Protein,,,3.31,,Percentage
2013-10,Protein,,,3.32,,Percentage
2012-05,Volume,,1252.0,,,Million litres
2001-05,Volume,,1304.0,,,Million litres
1997-05,Protein,,,3.33,,Percentage
2013-06,Volume,,1177.0,,,Million litres
2002-06,Volume,,1215.0,,,Million litres
1996-04,Protein,,,3.18,,Percentage
2014-07,Volume,,1225.0,,,Million litres
2002-09,Butterfat,,,,3.95,Percentage
2003-07,Volume,,1232.0,,,Million litres
2009-11,Price,0.2487,,,,Pounds per litre
1995-03,Protein,,,3.14,,Percentage
2013-09,Butterfat,,,,4.06,Percentage
2015-08,Volume,,1211.0,,,Million litres
2001-08,Butterfat,,,,3.9,Percentage
2004-08,Volume,,1143.0,,,Million litres
2009-06,Protein,,,3.24,,Percentage
2012-08,Butterfat,,,,4.0,Percentage
2008-10,Price,0.2736,,,,Pounds per litre
2016-09,Volume,,1078.0,,,Million litres
2019-10,Price,0.294,,,,Pounds per litre
2000-07,Butterfat,,,,3.86,Percentage
2005-09,Volume,,1067.0,,,Million litres
2011-07,Butterfat,,,,3.92,Percentage
2008-05,Protein,,,3.26,,Percentage
2019-05,Protein,,,3.36,,Percentage
2010-06,Butterfat,,,,3.76,Percentage
2007-04,Protein,,,3.27,,Percentage
2018-04,Protein,,,3.27,,Percentage
1979-03,Price,0.1112,,,,Pounds per litre
2006-03,Protein,,,3.23,,Percentage
1978-02,Price,0.1025,,,,Pounds per litre
2020-05,Butterfat,,,,3.99,Percentage
2017-03,Protein,,,3.26,,Percentage
1989-02,Price,0.1761,,,,Pounds per litre
2020-02,Volume,,1181.0,,,Million litres
2005-02,Protein,,,3.21,,Percentage
1977-12,Price,0.1045,,,,Pounds per litre
2016-02,Protein,,,3.28,,Percentage
1988-12,Price,0.17809999999999998,,,,Pounds per litre
1977-01,Price,0.1015,,,,Pounds per litre
2004-12,Protein,,,3.29,,Percentage
1999-12,Price,0.17329999999999998,,,,Pounds per litre
1988-01,Price,0.1675,,,,Pounds per litre
1999-01,Price,0.1923,,,,Pounds per litre
1976-11,Price,0.0998,,,,Pounds per litre
2010-03,Volume,,1116.0,,,Million litres
2015-12,Protein,,,3.32,,Percentage
2004-01,Protein,,,3.21,,Percentage
2015-01,Protein,,,3.28,,Percentage
1987-11,Price,0.17059999999999997,,,,Pounds per litre
1998-11,Price,0.196,,,,Pounds per litre
2003-11,Protein,,,3.36,,Percentage
1999-07,Protein,,,3.3,,Percentage
1975-10,Price,0.0861,,,,Pounds per litre
2011-04,Volume,,1191.0,,,Million litres
2014-11,Protein,,,3.33,,Percentage
2007-03,Protein,,,3.25,,Percentage
2018-03,Protein,,,3.32,,Percentage
2020-04,Butterfat,,,,4.11,Percentage
2006-02,Protein,,,3.23,,Percentage
1979-02,Price,0.1125,,,,Pounds per litre
2017-02,Protein,,,3.27,,Percentage
2005-12,Protein,,,3.31,,Percentage
1978-12,Price,0.1124,,,,Pounds per litre
2020-03,Volume,,1307.0,,,Million litres
2016-12,Protein,,,3.36,,Percentage
2005-01,Protein,,,3.24,,Percentage
1989-12,Price,0.18239999999999998,,,,Pounds per litre
1978-01,Price,0.1043,,,,Pounds per litre
1989-01,Price,0.17579999999999998,,,,Pounds per litre
2016-01,Protein,,,3.28,,Percentage
2004-11,Protein,,,3.33,,Percentage
1977-11,Price,0.10779999999999999,,,,Pounds per litre
1988-11,Price,0.18309999999999998,,,,Pounds per litre
2015-11,Protein,,,3.36,,Percentage
1999-11,Price,0.1766,,,,Pounds per litre
2010-04,Volume,,1133.0,,,Million litres
1976-10,Price,0.099,,,,Pounds per litre
2003-10,Protein,,,3.44,,Percentage
1999-06,Protein,,,3.31,,Percentage
1987-10,Price,0.1745,,,,Pounds per litre
2014-10,Protein,,,3.34,,Percentage
1994-11,Protein,,,3.26,,Percentage
1998-10,Price,0.20149999999999998,,,,Pounds per litre
2011-05,Volume,,1253.0,,,Million litres
2000-05,Volume,,1292.0,,,Million litres
1998-05,Protein,,,3.31,,Percentage
2012-06,Volume,,1186.0,,,Million litres
2003-09,Butterfat,,,,4.02,Percentage
2001-06,Volume,,1220.0,,,Million litres
1997-04,Protein,,,3.3,,Percentage
2014-09,Butterfat,,,,3.97,Percentage
2013-07,Volume,,1144.0,,,Million litres
2002-08,Butterfat,,,,3.86,Percentage
2002-07,Volume,,1199.0,,,Million litres
1996-03,Protein,,,3.2,,Percentage
2013-08,Butterfat,,,,3.92,Percentage
2014-08,Volume,,1178.0,,,Million litres
1995-02,Protein,,,3.12,,Percentage
2001-07,Butterfat,,,,3.86,Percentage
2003-08,Volume,,1181.0,,,Million litres
2012-07,Butterfat,,,,3.94,Percentage
2015-09,Volume,,1166.0,,,Million litres
2009-10,Price,0.2444,,,,Pounds per litre
2009-05,Protein,,,3.26,,Percentage
2000-06,Butterfat,,,,3.9,Percentage
2004-09,Volume,,1074.0,,,Million litres
2011-06,Butterfat,,,,3.94,Percentage
2008-04,Protein,,,3.26,,Percentage
2010-05,Butterfat,,,,3.8,Percentage
2019-04,Protein,,,3.36,,Percentage
2013-07,Butterfat,,,,3.82,Percentage
2013-08,Volume,,1116.0,,,Million litres
1996-02,Protein,,,3.2,,Percentage
2001-06,Butterfat,,,,3.84,Percentage
2002-08,Volume,,1139.0,,,Million litres
1995-12,Protein,,,3.3,,Percentage
2012-06,Butterfat,,,,3.93,Percentage
2014-09,Volume,,1147.0,,,Million litres
1995-01,Protein,,,3.16,,Percentage
2000-05,Butterfat,,,,3.91,Percentage
2003-09,Volume,,1101.0,,,Million litres
2011-05,Butterfat,,,,3.9,Percentage
2009-04,Protein,,,3.23,,Percentage
2010-04,Butterfat,,,,3.94,Percentage
2008-03,Protein,,,3.25,,Percentage
2019-03,Protein,,,3.33,,Percentage
2007-02,Protein,,,3.25,,Percentage
2020-03,Butterfat,,,,4.22,Percentage
2018-02,Protein,,,3.32,,Percentage
2006-12,Protein,,,3.34,,Percentage
2017-12,Protein,,,3.37,,Percentage
2006-01,Protein,,,3.25,,Percentage
2017-01,Protein,,,3.28,,Percentage
1979-12,Price,0.1226,,,,Pounds per litre
1979-01,Price,0.11289999999999999,,,,Pounds per litre
2005-11,Protein,,,3.34,,Percentage
2016-11,Protein,,,3.39,,Percentage
1978-11,Price,0.11259999999999999,,,,Pounds per litre
2020-04,Volume,,1328.0,,,Million litres
2004-10,Protein,,,3.37,,Percentage
1989-11,Price,0.18170000000000003,,,,Pounds per litre
2015-10,Protein,,,3.41,,Percentage
1977-10,Price,0.107,,,,Pounds per litre
1999-05,Protein,,,3.31,,Percentage
1988-10,Price,0.18530000000000002,,,,Pounds per litre
2010-05,Volume,,1243.0,,,Million litres
1999-10,Price,0.1809,,,,Pounds per litre
2004-09,Butterfat,,,,4.05,Percentage
2015-09,Butterfat,,,,4.03,Percentage
2011-06,Volume,,1172.0,,,Million litres
1998-04,Protein,,,3.21,,Percentage
2003-08,Butterfat,,,,3.87,Percentage
2000-06,Volume,,1169.0,,,Million litres
2014-08,Butterfat,,,,3.92,Percentage
2012-07,Volume,,1116.0,,,Million litres
1997-03,Protein,,,3.19,,Percentage
2002-07,Butterfat,,,,3.84,Percentage
2001-07,Volume,,1187.0,,,Million litres
2016-10,Protein,,,3.38,,Percentage
1979-11,Price,0.1223,,,,Pounds per litre
2005-09,Butterfat,,,,4.04,Percentage
2020-05,Volume,,1383.0,,,Million litres
2016-09,Butterfat,,,,4.09,Percentage
1978-10,Price,0.1116,,,,Pounds per litre
1989-10,Price,0.2144,,,,Pounds per litre
2004-08,Butterfat,,,,3.89,Percentage
1999-04,Protein,,,3.22,,Percentage
2015-08,Butterfat,,,,3.99,Percentage
2010-06,Volume,,1179.0,,,Million litres
2003-07,Butterfat,,,,3.83,Percentage
1998-03,Protein,,,3.19,,Percentage
2014-07,Butterfat,,,,3.84,Percentage
2011-07,Volume,,1161.0,,,Million litres
2002-06,Butterfat,,,,3.89,Percentage
2000-07,Volume,,1175.0,,,Million litres
1997-02,Protein,,,3.19,,Percentage
2013-06,Butterfat,,,,3.84,Percentage
2012-08,Volume,,1063.0,,,Million litres
1996-12,Protein,,,3.3,,Percentage
2001-05,Butterfat,,,,3.85,Percentage
2001-08,Volume,,1136.0,,,Million litres
2012-05,Butterfat,,,,3.97,Percentage
1996-01,Protein,,,3.22,,Percentage
2013-09,Volume,,1063.0,,,Million litres
2000-04,Butterfat,,,,4.06,Percentage
2002-09,Volume,,1071.0,,,Million litres
1995-11,Protein,,,3.35,,Percentage
2011-04,Butterfat,,,,4.02,Percentage
2010-03,Butterfat,,,,4.04,Percentage
2009-03,Protein,,,3.21,,Percentage
1994-09,Butterfat,,,,4.19,Percentage
2008-02,Protein,,,3.22,,Percentage
2019-02,Protein,,,3.34,,Percentage
2020-02,Butterfat,,,,4.19,Percentage
2007-12,Protein,,,3.32,,Percentage
2018-12,Protein,,,3.37,,Percentage
2007-01,Protein,,,3.28,,Percentage
2018-01,Protein,,,3.32,,Percentage
2006-11,Protein,,,3.38,,Percentage
2017-11,Protein,,,3.38,,Percentage
2005-10,Protein,,,3.36,,Percentage
1994-08,Butterfat,,,,4.01,Percentage
2009-02,Protein,,,3.23,,Percentage
2008-12,Protein,,,3.32,,Percentage
2020-01,Butterfat,,,,4.17,Percentage
2019-12,Protein,,,3.41,,Percentage
2008-01,Protein,,,3.25,,Percentage
2019-01,Protein,,,3.33,,Percentage
2007-11,Protein,,,3.39,,Percentage
2018-11,Protein,,,3.44,,Percentage
2006-10,Protein,,,3.38,,Percentage
2006-09,Butterfat,,,,4.06,Percentage
2017-10,Protein,,,3.38,,Percentage
2017-09,Butterfat,,,,4.13,Percentage
2005-08,Butterfat,,,,3.93,Percentage
2016-08,Butterfat,,,,3.98,Percentage
1979-10,Price,0.1191,,,,Pounds per litre
2004-07,Butterfat,,,,3.87,Percentage
2015-07,Butterfat,,,,3.83,Percentage
2020-06,Volume,,1281.0,,,Million litres
2003-06,Butterfat,,,,3.79,Percentage
1999-03,Protein,,,3.21,,Percentage
2014-06,Butterfat,,,,3.84,Percentage
2010-07,Volume,,1141.0,,,Million litres
1998-02,Protein,,,3.22,,Percentage
2002-05,Butterfat,,,,3.89,Percentage
2013-05,Butterfat,,,,3.91,Percentage
2011-08,Volume,,1105.0,,,Million litres
1997-12,Protein,,,3.3,,Percentage
1997-01,Protein,,,3.25,,Percentage
2001-04,Butterfat,,,,4.05,Percentage
2000-08,Volume,,1133.0,,,Million litres
2012-04,Butterfat,,,,4.06,Percentage
2012-09,Volume,,997.0,,,Million litres
1996-11,Protein,,,3.34,,Percentage
2000-03,Butterfat,,,,4.03,Percentage
2001-09,Volume,,1061.0,,,Million litres
2011-03,Butterfat,,,,4.08,Percentage
1995-10,Protein,,,3.36,,Percentage
1995-09,Butterfat,,,,4.07,Percentage
2010-02,Butterfat,,,,4.07,Percentage
2002-04,Butterfat,,,,3.99,Percentage
1998-12,Protein,,,3.26,,Percentage
2013-04,Butterfat,,,,4.1,Percentage
2010-08,Volume,,1109.0,,,Million litres
1998-01,Protein,,,3.25,,Percentage
2001-03,Butterfat,,,,4.06,Percentage
2012-03,Butterfat,,,,4.1,Percentage
1997-11,Protein,,,3.36,,Percentage
2011-09,Volume,,1042.0,,,Million litres
1996-09,Butterfat,,,,4.07,Percentage
2000-02,Butterfat,,,,4.04,Percentage
2000-09,Volume,,1058.0,,,Million litres
2011-02,Butterfat,,,,3.99,Percentage
1996-10,Protein,,,3.38,,Percentage
1995-08,Butterfat,,,,3.92,Percentage
2010-12,Butterfat,,,,4.15,Percentage
2010-01,Butterfat,,,,4.11,Percentage
1994-07,Butterfat,,,,3.96,Percentage
2020-11,Butterfat,,,,4.31,Percentage
2009-12,Protein,,,3.32,,Percentage
2009-01,Protein,,,3.27,,Percentage
2008-11,Protein,,,3.36,,Percentage
2019-11,Protein,,,3.47,,Percentage
2007-09,Butterfat,,,,4.06,Percentage
2018-09,Butterfat,,,,4.09,Percentage
2007-10,Protein,,,3.42,,Percentage
2018-10,Protein,,,3.44,,Percentage
2006-08,Butterfat,,,,3.97,Percentage
2017-08,Butterfat,,,,4.01,Percentage
2005-07,Butterfat,,,,3.9,Percentage
2016-07,Butterfat,,,,3.94,Percentage
2004-06,Butterfat,,,,3.81,Percentage
2015-06,Butterfat,,,,3.9,Percentage
2003-05,Butterfat,,,,3.82,Percentage
2020-07,Volume,,1261.0,,,Million litres
2014-05,Butterfat,,,,3.9,Percentage
1999-02,Protein,,,3.21,,Percentage
2017-07,Butterfat,,,,3.93,Percentage
2005-06,Butterfat,,,,3.86,Percentage
2016-06,Butterfat,,,,3.94,Percentage
2004-05,Butterfat,,,,3.81,Percentage
2015-05,Butterfat,,,,3.91,Percentage
2003-04,Butterfat,,,,3.89,Percentage
2014-04,Butterfat,,,,4.01,Percentage
1999-12,Protein,,,3.31,,Percentage
2002-03,Butterfat,,,,4.05,Percentage
2020-08,Volume,,1200.0,,,Million litres
1999-01,Protein,,,3.22,,Percentage
2013-03,Butterfat,,,,4.13,Percentage
1997-09,Butterfat,,,,4.06,Percentage
1998-11,Protein,,,3.33,,Percentage
2001-02,Butterfat,,,,4.02,Percentage
2012-02,Butterfat,,,,4.13,Percentage
2000-12,Butterfat,,,,4.08,Percentage
2010-09,Volume,,1065.0,,,Million litres
1996-08,Butterfat,,,,4.03,Percentage
2011-12,Butterfat,,,,4.2,Percentage
2000-01,Butterfat,,,,4.08,Percentage
1997-10,Protein,,,3.39,,Percentage
2011-01,Butterfat,,,,4.03,Percentage
1995-07,Butterfat,,,,3.92,Percentage
2010-11,Butterfat,,,,4.11,Percentage
1994-06,Butterfat,,,,3.89,Percentage
2020-10,Butterfat,,,,4.28,Percentage
2008-09,Butterfat,,,,4.11,Percentage
2009-11,Protein,,,3.34,,Percentage
2019-09,Butterfat,,,,4.14,Percentage
2007-08,Butterfat,,,,3.97,Percentage
2008-10,Protein,,,3.36,,Percentage
2018-08,Butterfat,,,,3.98,Percentage
2019-10,Protein,,,3.44,,Percentage
2006-07,Butterfat,,,,3.84,Percentage
2009-09,Butterfat,,,,4.0,Percentage
1994-05,Butterfat,,,,3.96,Percentage
2008-08,Butterfat,,,,4.02,Percentage
2019-08,Butterfat,,,,4.03,Percentage
2009-10,Protein,,,3.36,,Percentage
2007-07,Butterfat,,,,3.93,Percentage
2018-07,Butterfat,,,,3.89,Percentage
2006-06,Butterfat,,,,3.83,Percentage
2017-06,Butterfat,,,,3.93,Percentage
2005-05,Butterfat,,,,3.87,Percentage
2016-05,Butterfat,,,,3.99,Percentage
2004-04,Butterfat,,,,4.0,Percentage
2015-04,Butterfat,,,,4.02,Percentage
2003-03,Butterfat,,,,3.98,Percentage
2014-03,Butterfat,,,,4.06,Percentage
1998-09,Butterfat,,,,4.07,Percentage
2002-02,Butterfat,,,,4.03,Percentage
2013-02,Butterfat,,,,4.13,Percentage
1997-08,Butterfat,,,,3.97,Percentage
1999-11,Protein,,,3.37,,Percentage
2001-12,Butterfat,,,,4.11,Percentage
2012-12,Butterfat,,,,4.18,Percentage
2001-01,Butterfat,,,,4.06,Percentage
2012-01,Butterfat,,,,4.14,Percentage
2020-09,Volume,,1163.0,,,Million litres
1998-10,Protein,,,3.41,,Percentage
2000-11,Butterfat,,,,4.16,Percentage
1996-07,Butterfat,,,,3.97,Percentage
2011-11,Butterfat,,,,4.18,Percentage
1995-06,Butterfat,,,,3.95,Percentage
2010-10,Butterfat,,,,4.03,Percentage
1998-08,Butterfat,,,,3.97,Percentage
2002-12,Butterfat,,,,4.08,Percentage
2013-12,Butterfat,,,,4.12,Percentage
2002-01,Butterfat,,,,4.07,Percentage
2013-01,Butterfat,,,,4.11,Percentage
1997-07,Butterfat,,,,3.97,Percentage
2001-11,Butterfat,,,,4.12,Percentage
2012-11,Butterfat,,,,4.2,Percentage
1999-10,Protein,,,3.43,,Percentage
2000-10,Butterfat,,,,4.15,Percentage
1996-06,Butterfat,,,,3.94,Percentage
2011-10,Butterfat,,,,4.13,Percentage
1995-05,Butterfat,,,,3.92,Percentage
2009-08,Butterfat,,,,3.9,Percentage
1994-04,Butterfat,,,,4.08,Percentage
2008-07,Butterfat,,,,3.87,Percentage
2019-07,Butterfat,,,,3.96,Percentage
2007-06,Butterfat,,,,3.89,Percentage
2018-06,Butterfat,,,,3.9,Percentage
2006-05,Butterfat,,,,3.93,Percentage
2017-05,Butterfat,,,,3.95,Percentage
2005-04,Butterfat,,,,4.02,Percentage
2016-04,Butterfat,,,,4.16,Percentage
2004-03,Butterfat,,,,4.05,Percentage
2015-03,Butterfat,,,,4.1,Percentage
1999-09,Butterfat,,,,4.02,Percentage
2003-02,Butterfat,,,,4.02,Percentage
2014-02,Butterfat,,,,4.07,Percentage
2006-04,Butterfat,,,,4.09,Percentage
2017-04,Butterfat,,,,4.06,Percentage
2005-03,Butterfat,,,,4.1,Percentage
2016-03,Butterfat,,,,4.2,Percentage
2004-02,Butterfat,,,,4.0,Percentage
2015-02,Butterfat,,,,4.09,Percentage
2003-12,Butterfat,,,,4.11,Percentage
1999-08,Butterfat,,,,3.94,Percentage
2014-12,Butterfat,,,,4.1,Percentage
2003-01,Butterfat,,,,4.02,Percentage
2014-01,Butterfat,,,,4.07,Percentage
1998-07,Butterfat,,,,3.95,Percentage
2002-11,Butterfat,,,,4.12,Percentage
2013-11,Butterfat,,,,4.18,Percentage
1997-06,Butterfat,,,,3.98,Percentage
2001-10,Butterfat,,,,4.11,Percentage
2012-10,Butterfat,,,,4.19,Percentage
1996-05,Butterfat,,,,3.98,Percentage
1995-04,Butterfat,,,,4.07,Percentage
2009-07,Butterfat,,,,3.83,Percentage
2008-06,Butterfat,,,,3.92,Percentage
2019-06,Butterfat,,,,3.98,Percentage
2007-05,Butterfat,,,,3.92,Percentage
2018-05,Butterfat,,,,3.97,Percentage
2009-06,Butterfat,,,,3.78,Percentage
2008-05,Butterfat,,,,3.9,Percentage
2019-05,Butterfat,,,,3.96,Percentage
2007-04,Butterfat,,,,4.02,Percentage
2018-04,Butterfat,,,,4.13,Percentage
2006-03,Butterfat,,,,4.1,Percentage
2017-03,Butterfat,,,,4.12,Percentage
2005-02,Butterfat,,,,4.08,Percentage
2016-02,Butterfat,,,,4.18,Percentage
2004-12,Butterfat,,,,4.11,Percentage
2015-12,Butterfat,,,,4.13,Percentage
2004-01,Butterfat,,,,4.02,Percentage
2015-01,Butterfat,,,,4.07,Percentage
2003-11,Butterfat,,,,4.18,Percentage
1999-07,Butterfat,,,,3.88,Percentage
1994-12,Butterfat,,,,4.12,Percentage
2014-11,Butterfat,,,,4.11,Percentage
1998-06,Butterfat,,,,4.0,Percentage
2002-10,Butterfat,,,,4.08,Percentage
2013-10,Butterfat,,,,4.08,Percentage
1997-05,Butterfat,,,,4.0,Percentage
1996-04,Butterfat,,,,4.09,Percentage
1995-03,Butterfat,,,,4.12,Percentage
1998-05,Butterfat,,,,3.99,Percentage
1997-04,Butterfat,,,,4.06,Percentage
1996-03,Butterfat,,,,4.13,Percentage
1995-02,Butterfat,,,,4.08,Percentage
2009-05,Butterfat,,,,3.93,Percentage
2008-04,Butterfat,,,,4.09,Percentage
2019-04,Butterfat,,,,4.05,Percentage
2007-03,Butterfat,,,,4.1,Percentage
2018-03,Butterfat,,,,4.21,Percentage
2006-02,Butterfat,,,,4.06,Percentage
2017-02,Butterfat,,,,4.13,Percentage
2005-12,Butterfat,,,,4.15,Percentage
2016-12,Butterfat,,,,4.19,Percentage
2005-01,Butterfat,,,,4.1,Percentage
2016-01,Butterfat,,,,4.15,Percentage
2004-11,Butterfat,,,,4.15,Percentage
2015-11,Butterfat,,,,4.15,Percentage
2003-10,Butterfat,,,,4.14,Percentage
1999-06,Butterfat,,,,3.9,Percentage
1994-11,Butterfat,,,,4.15,Percentage
2014-10,Butterfat,,,,4.08,Percentage
2006-12,Butterfat,,,,4.19,Percentage
2017-12,Butterfat,,,,4.2,Percentage
2006-01,Butterfat,,,,4.1,Percentage
2020-09,Price,0.2901,,,,Pounds per litre
2017-01,Butterfat,,,,4.12,Percentage
2005-11,Butterfat,,,,4.16,Percentage
2016-11,Butterfat,,,,4.25,Percentage
2004-10,Butterfat,,,,4.16,Percentage
2015-10,Butterfat,,,,4.12,Percentage
1999-05,Butterfat,,,,3.92,Percentage
1998-04,Butterfat,,,,4.14,Percentage
1997-03,Butterfat,,,,4.08,Percentage
1996-02,Butterfat,,,,4.13,Percentage
1995-12,Butterfat,,,,4.15,Percentage
1995-01,Butterfat,,,,4.14,Percentage
2009-04,Butterfat,,,,4.04,Percentage
2008-03,Butterfat,,,,4.13,Percentage
2019-03,Butterfat,,,,4.12,Percentage
2007-02,Butterfat,,,,4.08,Percentage
2018-02,Butterfat,,,,4.17,Percentage
1994-10,Butterfat,,,,4.23,Percentage
2009-03,Butterfat,,,,4.1,Percentage
2008-02,Butterfat,,,,4.1,Percentage
2019-02,Butterfat,,,,4.1,Percentage
2007-12,Butterfat,,,,4.2,Percentage
2018-12,Butterfat,,,,4.15,Percentage
2007-01,Butterfat,,,,4.13,Percentage
2018-01,Butterfat,,,,4.16,Percentage
2006-11,Butterfat,,,,4.17,Percentage
2017-11,Butterfat,,,,4.19,Percentage
2010-09,Price,0.2525,,,,Pounds per litre
2005-10,Butterfat,,,,4.11,Percentage
2016-10,Butterfat,,,,4.18,Percentage
2020-08,Price,0.2805,,,,Pounds per litre
1999-04,Butterfat,,,,4.06,Percentage
1998-03,Butterfat,,,,4.1,Percentage
1997-02,Butterfat,,,,4.12,Percentage
1996-12,Butterfat,,,,4.22,Percentage
1996-01,Butterfat,,,,4.11,Percentage
1995-11,Butterfat,,,,4.17,Percentage
1998-02,Butterfat,,,,4.09,Percentage
1997-12,Butterfat,,,,4.13,Percentage
1997-01,Butterfat,,,,4.17,Percentage
1996-11,Butterfat,,,,4.19,Percentage
1995-10,Butterfat,,,,4.15,Percentage
2009-02,Butterfat,,,,4.12,Percentage
2008-12,Butterfat,,,,4.19,Percentage
2019-12,Butterfat,,,,4.26,Percentage
2008-01,Butterfat,,,,4.13,Percentage
2019-01,Butterfat,,,,4.09,Percentage
2007-11,Butterfat,,,,4.23,Percentage
2018-11,Butterfat,,,,4.2,Percentage
2006-10,Butterfat,,,,4.13,Percentage
2017-10,Butterfat,,,,4.18,Percentage
2000-09,Price,0.1751,,,,Pounds per litre
2011-09,Price,0.2813,,,,Pounds per litre
2010-08,Price,0.247,,,,Pounds per litre
1999-03,Butterfat,,,,4.06,Percentage
2020-07,Price,0.2773,,,,Pounds per litre
2001-09,Price,0.2069,,,,Pounds per litre
2012-09,Price,0.275,,,,Pounds per litre
2000-08,Price,0.17920000000000003,,,,Pounds per litre
2011-08,Price,0.2759,,,,Pounds per litre
1999-02,Butterfat,,,,4.07,Percentage
2010-07,Price,0.2429,,,,Pounds per litre
1998-12,Butterfat,,,,4.12,Percentage
1998-01,Butterfat,,,,4.12,Percentage
2020-06,Price,0.27149999999999996,,,,Pounds per litre
1997-11,Butterfat,,,,4.17,Percentage
1996-10,Butterfat,,,,4.17,Percentage
1990-09,Price,0.21760000000000002,,,,Pounds per litre
2009-12,Butterfat,,,,4.1,Percentage
2009-01,Butterfat,,,,4.14,Percentage
2008-11,Butterfat,,,,4.19,Percentage
2019-11,Butterfat,,,,4.31,Percentage
2007-10,Butterfat,,,,4.17,Percentage
2018-10,Butterfat,,,,4.17,Percentage
1980-09,Price,0.1272,,,,Pounds per litre
2009-11,Butterfat,,,,4.08,Percentage
1991-09,Price,0.2359,,,,Pounds per litre
2008-10,Butterfat,,,,4.16,Percentage
1990-08,Price,0.2198,,,,Pounds per litre
2019-10,Butterfat,,,,4.24,Percentage
2002-09,Price,0.1711,,,,Pounds per litre
2013-09,Price,0.3296,,,,Pounds per litre
2001-08,Price,0.20850000000000002,,,,Pounds per litre
2012-08,Price,0.2658,,,,Pounds per litre
1999-12,Butterfat,,,,4.14,Percentage
1999-01,Butterfat,,,,4.08,Percentage
2000-07,Price,0.17620000000000002,,,,Pounds per litre
2011-07,Price,0.2721,,,,Pounds per litre
1998-11,Butterfat,,,,4.15,Percentage
2010-06,Price,0.23850000000000002,,,,Pounds per litre
1997-10,Butterfat,,,,4.16,Percentage
2020-05,Price,0.2671,,,,Pounds per litre
2001-07,Price,0.2043,,,,Pounds per litre
2012-07,Price,0.2632,,,,Pounds per litre
1998-10,Butterfat,,,,4.15,Percentage
2000-06,Price,0.1534,,,,Pounds per litre
2011-06,Price,0.2662,,,,Pounds per litre
2010-05,Price,0.2364,,,,Pounds per litre
2020-04,Price,0.2735,,,,Pounds per litre
