Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
2007-05,Volume,,1258.0,,,Million litres
2015-01,Price,0.2646,,,,Pounds per litre
1988-07,Price,0.1816,,,,Pounds per litre
1999-07,Price,0.19760000000000003,,,,Pounds per litre
2020-01,Protein,,,3.36,,Percentage
2003-11,Price,0.19820000000000002,,,,Pounds per litre
2019-06,Volume,,1288.0,,,Million litres
2014-11,Price,0.2883,,,,Pounds per litre
1976-06,Price,0.0816,,,,Pounds per litre
2008-06,Volume,,1127.0,,,Million litres
1987-06,Price,0.1413,,,,Pounds per litre
2002-10,Price,0.1813,,,,Pounds per litre
1998-06,Price,0.1766,,,,Pounds per litre
2013-10,Price,0.33590000000000003,,,,Pounds per litre
1994-12,Price,0.2409,,,,Pounds per litre
1975-05,Price,0.0647,,,,Pounds per litre
1986-05,Price,0.1328,,,,Pounds per litre
2009-07,Volume,,1101.0,,,Million litres
1997-05,Price,0.1956,,,,Pounds per litre
2006-09,Protein,,,3.35,,Percentage
1974-04,Price,0.055,,,,Pounds per litre
2017-09,Protein,,,3.39,,Percentage
1985-04,Price,0.14279999999999998,,,,Pounds per litre
1995-04,Volume,,1177.0,,,Million litres
2005-08,Protein,,,3.3,,Percentage
1996-04,Price,0.23559999999999998,,,,Pounds per litre
2016-08,Protein,,,3.25,,Percentage
1973-03,Price,0.0475,,,,Pounds per litre
1984-03,Price,0.1531,,,,Pounds per litre
1996-05,Volume,,1310.0,,,Million litres
2004-07,Protein,,,3.25,,Percentage
1995-03,Price,0.2373,,,,Pounds per litre
2015-07,Protein,,,3.31,,Percentage
1972-02,Price,0.0482,,,,Pounds per litre
2012-10,Volume,,994.0,,,Million litres
1997-06,Volume,,1198.0,,,Million litres
1983-02,Price,0.15560000000000002,,,,Pounds per litre
2001-10,Volume,,1074.0,,,Million litres
2003-06,Protein,,,3.3,,Percentage
2009-06,Price,0.22399999999999998,,,,Pounds per litre
1994-02,Price,0.2079,,,,Pounds per litre
1971-12,Price,0.047400000000000005,,,,Pounds per litre
1982-12,Price,0.15539999999999998,,,,Pounds per litre
1971-01,Price,0.0435,,,,Pounds per litre
2013-11,Volume,,1067.0,,,Million litres
2014-06,Protein,,,3.24,,Percentage
1998-07,Volume,,1163.0,,,Million litres
1993-12,Price,0.21530000000000002,,,,Pounds per litre
1982-01,Price,0.1448,,,,Pounds per litre
2002-11,Volume,,1025.0,,,Million litres
2002-05,Protein,,,3.32,,Percentage
2008-05,Price,0.24489999999999998,,,,Pounds per litre
1993-01,Price,0.2069,,,,Pounds per litre
1970-11,Price,0.042300000000000004,,,,Pounds per litre
2014-01,Volume,,1179.0,,,Million litres
2019-05,Price,0.2784,,,,Pounds per litre
2003-01,Volume,,1141.0,,,Million litres
1981-11,Price,0.1442,,,,Pounds per litre
2014-12,Volume,,1156.0,,,Million litres
2013-05,Protein,,,3.22,,Percentage
1999-08,Volume,,1161.0,,,Million litres
1992-11,Price,0.2112,,,,Pounds per litre
2003-12,Volume,,1127.0,,,Million litres
2007-04,Price,0.17550000000000002,,,,Pounds per litre
2015-02,Volume,,1101.0,,,Million litres
2001-04,Protein,,,3.2,,Percentage
2018-04,Price,0.2741,,,,Pounds per litre
2004-02,Volume,,1054.0,,,Million litres
1980-10,Price,0.1329,,,,Pounds per litre
2012-04,Protein,,,3.27,,Percentage
1991-10,Price,0.2345,,,,Pounds per litre
2006-03,Price,0.18109999999999998,,,,Pounds per litre
2016-03,Volume,,1260.0,,,Million litres
1979-09,Price,0.11349999999999999,,,,Pounds per litre
2000-03,Protein,,,3.2,,Percentage
2017-03,Price,0.2748,,,,Pounds per litre
2005-03,Volume,,1198.0,,,Million litres
2011-03,Protein,,,3.24,,Percentage
1995-09,Protein,,,3.29,,Percentage
2017-04,Volume,,1297.0,,,Million litres
2005-02,Price,0.18309999999999998,,,,Pounds per litre
1978-08,Price,0.10220000000000001,,,,Pounds per litre
2016-02,Price,0.23010000000000003,,,,Pounds per litre
2010-02,Protein,,,3.26,,Percentage
1989-08,Price,0.2216,,,,Pounds per litre
2006-04,Volume,,1191.0,,,Million litres
2004-12,Price,0.1893,,,,Pounds per litre
2004-01,Price,0.18760000000000002,,,,Pounds per litre
1977-07,Price,0.0935,,,,Pounds per litre
2018-05,Volume,,1372.0,,,Million litres
2015-12,Price,0.2397,,,,Pounds per litre
2002-04,Protein,,,3.26,,Percentage
1998-08,Volume,,1131.0,,,Million litres
1982-11,Price,0.155,,,,Pounds per litre
2002-12,Volume,,1105.0,,,Million litres
1993-11,Price,0.2192,,,,Pounds per litre
2014-02,Volume,,1099.0,,,Million litres
2013-04,Protein,,,3.21,,Percentage
2008-04,Price,0.2495,,,,Pounds per litre
2003-02,Volume,,1049.0,,,Million litres
1970-10,Price,0.0424,,,,Pounds per litre
1981-10,Price,0.1432,,,,Pounds per litre
2001-03,Protein,,,3.21,,Percentage
2019-04,Price,0.2823,,,,Pounds per litre
1999-09,Volume,,1105.0,,,Million litres
1992-10,Price,0.24609999999999999,,,,Pounds per litre
2015-03,Volume,,1262.0,,,Million litres
2012-03,Protein,,,3.24,,Percentage
1996-09,Protein,,,3.37,,Percentage
2007-03,Price,0.17679999999999998,,,,Pounds per litre
2004-03,Volume,,1152.0,,,Million litres
2018-03,Price,0.2849,,,,Pounds per litre
2000-02,Protein,,,3.21,,Percentage
2016-04,Volume,,1251.0,,,Million litres
2011-02,Protein,,,3.25,,Percentage
2005-04,Volume,,1206.0,,,Million litres
2006-02,Price,0.1834,,,,Pounds per litre
1995-08,Protein,,,3.18,,Percentage
1979-08,Price,0.11,,,,Pounds per litre
2017-02,Price,0.2747,,,,Pounds per litre
2010-12,Protein,,,3.37,,Percentage
2010-01,Protein,,,3.3,,Percentage
2017-05,Volume,,1363.0,,,Million litres
2005-12,Price,0.19260000000000002,,,,Pounds per litre
2006-05,Volume,,1275.0,,,Million litres
2016-12,Price,0.2622,,,,Pounds per litre
2005-01,Price,0.18530000000000002,,,,Pounds per litre
1978-07,Price,0.09789999999999999,,,,Pounds per litre
1989-07,Price,0.20739999999999997,,,,Pounds per litre
2016-01,Price,0.2316,,,,Pounds per litre
2018-06,Volume,,1269.0,,,Million litres
2004-11,Price,0.1949,,,,Pounds per litre
2020-11,Protein,,,3.43,,Percentage
2007-06,Volume,,1147.0,,,Million litres
2015-11,Price,0.24239999999999998,,,,Pounds per litre
1977-06,Price,0.0897,,,,Pounds per litre
1988-06,Price,0.156,,,,Pounds per litre
2019-07,Volume,,1266.0,,,Million litres
2003-10,Price,0.1959,,,,Pounds per litre
1999-06,Price,0.172,,,,Pounds per litre
1976-05,Price,0.0819,,,,Pounds per litre
2007-09,Protein,,,3.39,,Percentage
2008-07,Volume,,1115.0,,,Million litres
2014-10,Price,0.2975,,,,Pounds per litre
1987-05,Price,0.1389,,,,Pounds per litre
2018-09,Protein,,,3.4,,Percentage
1998-05,Price,0.166,,,,Pounds per litre
1994-11,Price,0.2434,,,,Pounds per litre
1975-04,Price,0.0735,,,,Pounds per litre
2006-08,Protein,,,3.24,,Percentage
2009-08,Volume,,1053.0,,,Million litres
1986-04,Price,0.14880000000000002,,,,Pounds per litre
2017-08,Protein,,,3.31,,Percentage
1997-04,Price,0.205,,,,Pounds per litre
2005-07,Protein,,,3.27,,Percentage
1974-03,Price,0.0562,,,,Pounds per litre
1995-05,Volume,,1305.0,,,Million litres
2016-07,Protein,,,3.22,,Percentage
1985-03,Price,0.14980000000000002,,,,Pounds per litre
1996-03,Price,0.2493,,,,Pounds per litre
2011-10,Volume,,1062.0,,,Million litres
1973-02,Price,0.0481,,,,Pounds per litre
1996-06,Volume,,1217.0,,,Million litres
2000-10,Volume,,1043.0,,,Million litres
2004-06,Protein,,,3.24,,Percentage
2015-06,Protein,,,3.3,,Percentage
1984-02,Price,0.155,,,,Pounds per litre
1972-12,Price,0.047599999999999996,,,,Pounds per litre
2012-11,Volume,,974.0,,,Million litres
1995-02,Price,0.2359,,,,Pounds per litre
2003-05,Protein,,,3.34,,Percentage
1997-07,Volume,,1164.0,,,Million litres
1983-12,Price,0.1545,,,,Pounds per litre
1972-01,Price,0.047400000000000005,,,,Pounds per litre
2001-11,Volume,,1064.0,,,Million litres
2014-05,Protein,,,3.25,,Percentage
1983-01,Price,0.1552,,,,Pounds per litre
2013-01,Volume,,1059.0,,,Million litres
2009-05,Price,0.20600000000000002,,,,Pounds per litre
1994-01,Price,0.2104,,,,Pounds per litre
2002-01,Volume,,1175.0,,,Million litres
1971-11,Price,0.047400000000000005,,,,Pounds per litre
2013-12,Volume,,1144.0,,,Million litres
1976-04,Price,0.0906,,,,Pounds per litre
1987-04,Price,0.1535,,,,Pounds per litre
2006-07,Protein,,,3.19,,Percentage
2009-09,Volume,,994.0,,,Million litres
1998-04,Price,0.1757,,,,Pounds per litre
2017-07,Protein,,,3.24,,Percentage
1975-03,Price,0.0762,,,,Pounds per litre
2010-10,Volume,,1076.0,,,Million litres
2005-06,Protein,,,3.26,,Percentage
1986-03,Price,0.15039999999999998,,,,Pounds per litre
1997-03,Price,0.2368,,,,Pounds per litre
1995-06,Volume,,1195.0,,,Million litres
2016-06,Protein,,,3.23,,Percentage
1974-02,Price,0.0646,,,,Pounds per litre
2011-11,Volume,,1035.0,,,Million litres
2004-05,Protein,,,3.25,,Percentage
1985-02,Price,0.1536,,,,Pounds per litre
2015-05,Protein,,,3.31,,Percentage
1996-02,Price,0.2462,,,,Pounds per litre
1996-07,Volume,,1156.0,,,Million litres
1973-12,Price,0.0646,,,,Pounds per litre
2000-11,Volume,,1006.0,,,Million litres
2012-01,Volume,,1118.0,,,Million litres
1984-12,Price,0.1532,,,,Pounds per litre
1973-01,Price,0.0478,,,,Pounds per litre
1995-12,Price,0.2506,,,,Pounds per litre
1984-01,Price,0.1548,,,,Pounds per litre
2001-01,Volume,,1142.0,,,Million litres
2012-12,Volume,,1039.0,,,Million litres
2020-09,Butterfat,,,,4.15,Percentage
2003-04,Protein,,,3.26,,Percentage
2014-04,Protein,,,3.27,,Percentage
1995-01,Price,0.23809999999999998,,,,Pounds per litre
1997-08,Volume,,1123.0,,,Million litres
1972-11,Price,0.047400000000000005,,,,Pounds per litre
2001-12,Volume,,1137.0,,,Million litres
1983-11,Price,0.15410000000000001,,,,Pounds per litre
2013-02,Volume,,978.0,,,Million litres
2002-02,Volume,,1084.0,,,Million litres
2002-03,Protein,,,3.23,,Percentage
1971-10,Price,0.045599999999999995,,,,Pounds per litre
2013-03,Protein,,,3.23,,Percentage
2009-04,Price,0.2325,,,,Pounds per litre
1998-09,Volume,,1073.0,,,Million litres
1982-10,Price,0.15439999999999998,,,,Pounds per litre
2014-03,Volume,,1257.0,,,Million litres
1997-09,Protein,,,3.38,,Percentage
2001-02,Protein,,,3.21,,Percentage
2003-03,Volume,,1214.0,,,Million litres
1993-10,Price,0.256,,,,Pounds per litre
2008-03,Price,0.25730000000000003,,,,Pounds per litre
2012-02,Protein,,,3.26,,Percentage
2019-03,Price,0.2891,,,,Pounds per litre
2015-04,Volume,,1293.0,,,Million litres
2000-12,Protein,,,3.28,,Percentage
1996-08,Protein,,,3.28,,Percentage
2004-04,Volume,,1209.0,,,Million litres
2011-12,Protein,,,3.31,,Percentage
2000-01,Protein,,,3.24,,Percentage
2007-02,Price,0.17809999999999998,,,,Pounds per litre
2011-01,Protein,,,3.28,,Percentage
1995-07,Protein,,,3.2,,Percentage
2018-02,Price,0.29410000000000003,,,,Pounds per litre
2016-05,Volume,,1321.0,,,Million litres
2005-05,Volume,,1279.0,,,Million litres
2010-11,Protein,,,3.36,,Percentage
2006-12,Price,0.1857,,,,Pounds per litre
1979-07,Price,0.10550000000000001,,,,Pounds per litre
2017-12,Price,0.31620000000000004,,,,Pounds per litre
2006-01,Price,0.1865,,,,Pounds per litre
2017-06,Volume,,1266.0,,,Million litres
2017-01,Price,0.2695,,,,Pounds per litre
2006-06,Volume,,1178.0,,,Million litres
2005-11,Price,0.19760000000000003,,,,Pounds per litre
2016-11,Price,0.2554,,,,Pounds per litre
1978-06,Price,0.09449999999999999,,,,Pounds per litre
2020-10,Protein,,,3.44,,Percentage
2008-09,Protein,,,3.35,,Percentage
2018-07,Volume,,1230.0,,,Million litres
1989-06,Price,0.1565,,,,Pounds per litre
2019-09,Protein,,,3.41,,Percentage
2007-07,Volume,,1098.0,,,Million litres
2004-10,Price,0.19510000000000002,,,,Pounds per litre
2015-10,Price,0.245,,,,Pounds per litre
1977-05,Price,0.0897,,,,Pounds per litre
1988-05,Price,0.1505,,,,Pounds per litre
2007-08,Protein,,,3.31,,Percentage
2019-08,Volume,,1206.0,,,Million litres
1999-05,Price,0.1638,,,,Pounds per litre
2018-08,Protein,,,3.28,,Percentage
2008-08,Volume,,1057.0,,,Million litres
2008-02,Price,0.2562,,,,Pounds per litre
2015-05,Volume,,1380.0,,,Million litres
2011-11,Protein,,,3.33,,Percentage
2004-05,Volume,,1306.0,,,Million litres
2019-02,Price,0.29350000000000004,,,,Pounds per litre
2007-12,Price,0.266,,,,Pounds per litre
1995-06,Protein,,,3.31,,Percentage
2010-10,Protein,,,3.36,,Percentage
2018-12,Price,0.3042,,,,Pounds per litre
2016-06,Volume,,1208.0,,,Million litres
2007-01,Price,0.18030000000000002,,,,Pounds per litre
2005-06,Volume,,1187.0,,,Million litres
2018-01,Price,0.3036,,,,Pounds per litre
2006-11,Price,0.19,,,,Pounds per litre
2009-09,Protein,,,3.32,,Percentage
2017-07,Volume,,1222.0,,,Million litres
2017-11,Price,0.3195,,,,Pounds per litre
1979-06,Price,0.1017,,,,Pounds per litre
2006-07,Volume,,1155.0,,,Million litres
2008-08,Protein,,,3.29,,Percentage
2005-10,Price,0.1971,,,,Pounds per litre
1978-05,Price,0.0944,,,,Pounds per litre
2019-08,Protein,,,3.31,,Percentage
2018-08,Volume,,1196.0,,,Million litres
2016-10,Price,0.242,,,,Pounds per litre
1989-05,Price,0.1491,,,,Pounds per litre
2007-08,Volume,,1074.0,,,Million litres
2007-07,Protein,,,3.26,,Percentage
1977-04,Price,0.098,,,,Pounds per litre
2018-07,Protein,,,3.21,,Percentage
2019-09,Volume,,1157.0,,,Million litres
2008-09,Volume,,973.0,,,Million litres
1988-04,Price,0.1668,,,,Pounds per litre
1999-04,Price,0.1753,,,,Pounds per litre
2006-06,Protein,,,3.23,,Percentage
2020-10,Volume,,1203.0,,,Million litres
2017-06,Protein,,,3.24,,Percentage
1976-03,Price,0.0863,,,,Pounds per litre
1987-03,Price,0.1605,,,,Pounds per litre
2010-09,Butterfat,,,,3.92,Percentage
2005-05,Protein,,,3.29,,Percentage
1998-03,Price,0.19699999999999998,,,,Pounds per litre
2010-11,Volume,,1028.0,,,Million litres
2016-05,Protein,,,3.28,,Percentage
1975-02,Price,0.0776,,,,Pounds per litre
1986-02,Price,0.1547,,,,Pounds per litre
1995-07,Volume,,1154.0,,,Million litres
2011-01,Volume,,1096.0,,,Million litres
2004-04,Protein,,,3.19,,Percentage
1997-02,Price,0.2373,,,,Pounds per litre
1974-12,Price,0.07690000000000001,,,,Pounds per litre
1985-12,Price,0.1576,,,,Pounds per litre
1974-01,Price,0.0653,,,,Pounds per litre
2000-01,Volume,,1149.0,,,Million litres
2011-12,Volume,,1098.0,,,Million litres
2020-08,Butterfat,,,,4.04,Percentage
2015-04,Protein,,,3.29,,Percentage
1996-12,Price,0.2443,,,,Pounds per litre
1996-08,Volume,,1113.0,,,Million litres
1985-01,Price,0.1536,,,,Pounds per litre
2000-12,Volume,,1103.0,,,Million litres
1996-01,Price,0.2459,,,,Pounds per litre
1973-11,Price,0.0646,,,,Pounds per litre
2012-02,Volume,,1057.0,,,Million litres
2003-03,Protein,,,3.21,,Percentage
1984-11,Price,0.1548,,,,Pounds per litre
2001-02,Volume,,1062.0,,,Million litres
2014-03,Protein,,,3.26,,Percentage
1998-09,Protein,,,3.4,,Percentage
1995-11,Price,0.25129999999999997,,,,Pounds per litre
1997-09,Volume,,1070.0,,,Million litres
2013-03,Volume,,1112.0,,,Million litres
1972-10,Price,0.0467,,,,Pounds per litre
2002-02,Protein,,,3.22,,Percentage
2013-02,Protein,,,3.23,,Percentage
2002-03,Volume,,1229.0,,,Million litres
1983-10,Price,0.1527,,,,Pounds per litre
1994-10,Price,0.2339,,,,Pounds per litre
2001-12,Protein,,,3.34,,Percentage
1997-08,Protein,,,3.28,,Percentage
2009-03,Price,0.2437,,,,Pounds per litre
2014-04,Volume,,1279.0,,,Million litres
2012-12,Protein,,,3.3,,Percentage
2001-01,Protein,,,3.24,,Percentage
2003-04,Volume,,1271.0,,,Million litres
2012-01,Protein,,,3.27,,Percentage
2000-11,Protein,,,3.33,,Percentage
1996-07,Protein,,,3.32,,Percentage
1998-02,Price,0.1977,,,,Pounds per litre
1975-12,Price,0.0874,,,,Pounds per litre
2010-12,Volume,,1072.0,,,Million litres
2020-07,Butterfat,,,,3.98,Percentage
2004-03,Protein,,,3.18,,Percentage
1986-12,Price,0.1648,,,,Pounds per litre
1995-08,Volume,,1109.0,,,Million litres
1975-01,Price,0.0779,,,,Pounds per litre
1986-01,Price,0.1573,,,,Pounds per litre
2011-02,Volume,,1023.0,,,Million litres
2015-03,Protein,,,3.28,,Percentage
1997-12,Price,0.2009,,,,Pounds per litre
1999-09,Protein,,,3.4,,Percentage
1997-01,Price,0.24100000000000002,,,,Pounds per litre
1974-11,Price,0.07690000000000001,,,,Pounds per litre
2000-02,Volume,,1076.0,,,Million litres
2003-02,Protein,,,3.25,,Percentage
1985-11,Price,0.16190000000000002,,,,Pounds per litre
1996-09,Volume,,1078.0,,,Million litres
1996-11,Price,0.2464,,,,Pounds per litre
2012-03,Volume,,1198.0,,,Million litres
2014-02,Protein,,,3.27,,Percentage
2002-12,Protein,,,3.3,,Percentage
1998-08,Protein,,,3.35,,Percentage
2001-03,Volume,,1191.0,,,Million litres
1973-10,Price,0.051500000000000004,,,,Pounds per litre
1984-10,Price,0.158,,,,Pounds per litre
2013-12,Protein,,,3.33,,Percentage
2002-01,Protein,,,3.28,,Percentage
1995-10,Price,0.263,,,,Pounds per litre
2013-04,Volume,,1112.0,,,Million litres
2013-01,Protein,,,3.23,,Percentage
2002-04,Volume,,1273.0,,,Million litres
2001-11,Protein,,,3.38,,Percentage
1997-07,Protein,,,3.3,,Percentage
2012-11,Protein,,,3.34,,Percentage
2014-05,Volume,,1333.0,,,Million litres
2009-02,Price,0.2468,,,,Pounds per litre
2003-05,Volume,,1367.0,,,Million litres
2000-10,Protein,,,3.37,,Percentage
1996-06,Protein,,,3.33,,Percentage
2011-10,Protein,,,3.32,,Percentage
2008-12,Price,0.2636,,,,Pounds per litre
2015-06,Volume,,1302.0,,,Million litres
2019-12,Price,0.29410000000000003,,,,Pounds per litre
2004-06,Volume,,1208.0,,,Million litres
2008-01,Price,0.2581,,,,Pounds per litre
1995-05,Protein,,,3.29,,Percentage
2019-01,Price,0.2961,,,,Pounds per litre
2016-07,Volume,,1165.0,,,Million litres
2007-11,Price,0.2727,,,,Pounds per litre
2009-08,Protein,,,3.26,,Percentage
2005-07,Volume,,1163.0,,,Million litres
2018-11,Price,0.316,,,,Pounds per litre
2017-08,Volume,,1205.0,,,Million litres
2006-10,Price,0.1882,,,,Pounds per litre
2017-10,Price,0.3181,,,,Pounds per litre
1979-05,Price,0.10189999999999999,,,,Pounds per litre
2008-07,Protein,,,3.25,,Percentage
2006-08,Volume,,1103.0,,,Million litres
2019-07,Protein,,,3.3,,Percentage
2018-09,Volume,,1154.0,,,Million litres
2000-09,Butterfat,,,,4.04,Percentage
2007-09,Volume,,1027.0,,,Million litres
1978-04,Price,0.1015,,,,Pounds per litre
2007-06,Protein,,,3.28,,Percentage
1989-04,Price,0.16440000000000002,,,,Pounds per litre
2018-06,Protein,,,3.23,,Percentage
2011-09,Butterfat,,,,4.1,Percentage
1977-03,Price,0.1005,,,,Pounds per litre
2006-05,Protein,,,3.24,,Percentage
2010-08,Butterfat,,,,3.85,Percentage
2017-05,Protein,,,3.29,,Percentage
1988-03,Price,0.16519999999999999,,,,Pounds per litre
2020-11,Volume,,1187.0,,,Million litres
1999-03,Price,0.18899999999999997,,,,Pounds per litre
2005-04,Protein,,,3.21,,Percentage
1976-02,Price,0.0876,,,,Pounds per litre
2010-01,Volume,,1051.0,,,Million litres
2016-04,Protein,,,3.27,,Percentage
1987-02,Price,0.16329999999999997,,,,Pounds per litre
2007-10,Price,0.2651,,,,Pounds per litre
2001-09,Butterfat,,,,4.01,Percentage
2005-08,Volume,,1136.0,,,Million litres
2012-09,Butterfat,,,,4.11,Percentage
2018-10,Price,0.3146,,,,Pounds per litre
2008-06,Protein,,,3.25,,Percentage
2017-09,Volume,,1156.0,,,Million litres
2000-08,Butterfat,,,,3.92,Percentage
2006-09,Volume,,1059.0,,,Million litres
2019-06,Protein,,,3.33,,Percentage
1979-04,Price,0.1105,,,,Pounds per litre
2011-08,Butterfat,,,,4.0,Percentage
2007-05,Protein,,,3.33,,Percentage
2018-05,Protein,,,3.27,,Percentage
2010-07,Butterfat,,,,3.82,Percentage
1978-03,Price,0.1012,,,,Pounds per litre
1989-03,Price,0.1771,,,,Pounds per litre
2006-04,Protein,,,3.21,,Percentage
2017-04,Protein,,,3.29,,Percentage
2020-01,Volume,,1248.0,,,Million litres
1977-02,Price,0.10099999999999999,,,,Pounds per litre
1988-02,Price,0.1672,,,,Pounds per litre
2020-06,Butterfat,,,,3.99,Percentage
2005-03,Protein,,,3.2,,Percentage
2016-03,Protein,,,3.29,,Percentage
1999-02,Price,0.1895,,,,Pounds per litre
1976-12,Price,0.1003,,,,Pounds per litre
1976-01,Price,0.08800000000000001,,,,Pounds per litre
2010-02,Volume,,978.0,,,Million litres
1987-12,Price,0.1697,,,,Pounds per litre
2004-02,Protein,,,3.19,,Percentage
1998-12,Price,0.1923,,,,Pounds per litre
1987-01,Price,0.16449999999999998,,,,Pounds per litre
2015-02,Protein,,,3.27,,Percentage
1998-01,Price,0.1996,,,,Pounds per litre
1995-09,Volume,,1080.0,,,Million litres
1975-11,Price,0.08689999999999999,,,,Pounds per litre
1986-11,Price,0.1678,,,,Pounds per litre
2011-03,Volume,,1167.0,,,Million litres
2003-12,Protein,,,3.27,,Percentage
1999-08,Protein,,,3.32,,Percentage
2014-12,Protein,,,3.31,,Percentage
2003-01,Protein,,,3.25,,Percentage
1997-11,Price,0.2039,,,,Pounds per litre
2000-03,Volume,,1148.0,,,Million litres
1974-10,Price,0.0761,,,,Pounds per litre
2014-01,Protein,,,3.29,,Percentage
1998-07,Protein,,,3.33,,Percentage
1985-10,Price,0.1623,,,,Pounds per litre
2012-04,Volume,,1204.0,,,Million litres
2002-11,Protein,,,3.35,,Percentage
2001-04,Volume,,1168.0,,,Million litres
2013-11,Protein,,,3.35,,Percentage
1996-10,Price,0.2562,,,,Pounds per litre
2001-10,Protein,,,3.39,,Percentage
1997-06,Protein,,,3.33,,Percentage
2013-05,Volume,,1234.0,,,Million litres
2002-05,Volume,,1354.0,,,Million litres
2012-10,Protein,,,3.33,,Percentage
2014-06,Volume,,1241.0,,,Million litres
1996-05,Protein,,,3.36,,Percentage
2009-12,Price,0.247,,,,Pounds per litre
2003-06,Volume,,1266.0,,,Million litres
2009-01,Price,0.2556,,,,Pounds per litre
2015-07,Volume,,1267.0,,,Million litres
1995-04,Protein,,,3.16,,Percentage
2004-07,Volume,,1203.0,,,Million litres
2008-11,Price,0.2708,,,,Pounds per litre
2019-11,Price,0.2987,,,,Pounds per litre
2009-07,Protein,,,3.22,,Percentage
2016-08,Volume,,1126.0,,,Million litres
